"Ano Mes.Ano Mes";MILHO/EM GRÃOS/AL/Preco Medio Comercializado;MILHO/EM GRÃOS/AP/Preco Medio Comercializado;MILHO/EM GRÃOS/BA/Preco Medio Comercializado;MILHO/EM GRÃOS/CE/Preco Medio Comercializado;MILHO/EM GRÃOS/DF/Preco Medio Comercializado;MILHO/EM GRÃOS/ES/Preco Medio Comercializado;MILHO/EM GRÃOS/GO/Preco Medio Comercializado;MILHO/EM GRÃOS/MA/Preco Medio Comercializado;MILHO/EM GRÃOS/MG/Preco Medio Comercializado;MILHO/EM GRÃOS/MS/Preco Medio Comercializado;MILHO/EM GRÃOS/MT/Preco Medio Comercializado;MILHO/EM GRÃOS/PA/Preco Medio Comercializado;MILHO/EM GRÃOS/PB/Preco Medio Comercializado;MILHO/EM GRÃOS/PE/Preco Medio Comercializado;MILHO/EM GRÃOS/PI/Preco Medio Comercializado;MILHO/EM GRÃOS/PR/Preco Medio Comercializado;MILHO/EM GRÃOS/RN/Preco Medio Comercializado;MILHO/EM GRÃOS/RO/Preco Medio Comercializado;MILHO/EM GRÃOS/RR/Preco Medio Comercializado;MILHO/EM GRÃOS/RS/Preco Medio Comercializado;MILHO/EM GRÃOS/SC/Preco Medio Comercializado;MILHO/EM GRÃOS/SE/Preco Medio Comercializado;MILHO/EM GRÃOS/SP/Preco Medio Comercializado;MILHO/EM GRÃOS/TO/Preco Medio Comercializado
"MAI-2023";;85.0;52.4;;56.6;68.08;47.97;66.48;52.21;44.13;44.87;73.46;;88.79;60.61;48.4;103.76;66.13;106.63;57.2;56.1;70.04;55.12;53.17
"JUN-2023";;71.76;45.46;;45.77;65.85;40.79;49.05;47.18;40.74;36.58;63.58;84.6;66.7;52.08;47.3;93.69;52.77;86.09;52.6;52.37;55.33;48.51;46.0
"JUL-2023";;70.0;47.05;75.0;43.51;73.83;38.78;42.61;47.2;40.08;34.86;51.69;79.8;62.23;49.55;46.08;;48.85;81.25;53.4;53.05;;49.16;43.76
"AGO-2023";;70.0;49.82;75.0;41.96;69.34;39.72;44.89;48.08;38.8;35.1;55.32;79.8;68.66;51.66;44.73;71.75;48.4;85.0;53.64;52.57;57.0;48.3;45.37
"SET-2023";;65.24;49.62;63.95;42.55;68.44;42.02;50.82;48.05;38.61;36.28;58.12;79.99;67.58;51.66;43.3;71.64;48.71;87.62;53.25;51.3;56.05;48.4;44.79
"OUT-2023";57.25;65.13;48.85;60.72;45.05;70.13;43.64;46.24;50.53;40.44;36.0;59.13;80.0;65.96;51.39;44.24;74.14;48.6;85.0;53.02;52.8;52.14;50.76;43.8
"NOV-2023";65.86;67.3;53.29;;45.91;71.68;45.43;52.25;55.43;42.76;36.23;63.04;80.0;70.18;55.31;45.62;78.14;48.68;82.95;55.25;53.52;60.48;53.94;45.64
"DEZ-2023";77.14;73.13;65.06;;56.83;72.56;54.04;65.31;68.44;48.96;39.21;70.86;;76.45;71.52;50.66;71.8;50.6;78.81;58.79;58.53;71.79;56.83;53.29
"JAN-2024";81.09;75.0;67.91;;64.57;87.19;56.62;69.28;67.78;47.95;42.69;81.62;;93.49;76.54;49.64;;54.67;74.61;57.75;57.92;74.89;60.11;
"FEV-2024";77.44;75.0;62.89;;56.86;88.87;53.21;65.57;59.45;46.83;37.61;84.17;;93.99;66.11;49.24;;54.14;76.86;50.92;54.38;73.0;56.19;
"MAR-2024";77.26;;58.67;;53.35;83.89;52.26;63.25;54.93;46.81;36.23;78.28;;96.24;63.35;47.28;;55.62;86.9;50.33;53.78;71.05;54.49;60.0
"ABR-2024";72.16;;55.03;;51.56;65.94;46.74;61.07;51.36;49.63;35.23;69.41;;89.5;60.05;48.82;;54.13;92.73;51.76;54.87;66.82;52.16;60.0
"MAI-2024";70.0;60.0;50.78;;49.06;59.89;44.73;57.59;51.08;50.16;35.42;61.96;;87.73;54.25;50.42;;51.0;95.0;54.5;56.42;63.13;52.17;
"JUN-2024";;60.0;54.52;;45.13;64.78;44.89;57.03;51.08;48.23;37.69;61.35;;82.9;53.81;49.75;;51.25;;55.62;58.14;64.75;52.92;45.0
"JUL-2024";;60.0;57.22;73.61;46.57;66.37;44.36;54.42;49.64;47.41;38.09;57.31;;77.27;55.0;48.96;;49.03;;55.07;55.87;67.57;52.12;45.0
"AGO-2024";;60.0;55.52;71.73;46.8;66.47;46.79;53.35;53.8;48.91;39.31;57.31;;78.83;55.84;50.06;70.4;44.97;;55.62;57.28;67.43;53.24;53.95
"SET-2024";;;55.81;68.93;48.76;70.0;50.63;53.96;57.67;51.36;43.13;61.54;;83.91;57.32;51.73;74.87;49.05;;56.7;58.74;66.32;56.29;54.6
"OUT-2024";68.5;70.0;57.15;69.45;54.73;77.52;56.07;57.56;61.95;57.8;49.21;63.4;;78.66;57.68;57.75;76.9;50.85;;61.76;63.36;63.91;60.78;55.12
"NOV-2024";74.19;;63.61;72.0;59.13;84.7;61.75;66.84;66.71;62.95;56.11;68.89;;84.25;66.69;60.71;78.43;55.4;;66.23;68.12;70.0;64.87;57.7
"DEZ-2024";72.5;;63.2;;64.25;87.33;62.82;66.23;67.55;62.6;58.2;76.84;;83.75;68.1;61.26;82.83;60.63;;65.44;66.98;71.0;66.82;61.75
"JAN-2025";74.26;;63.48;;63.46;91.65;64.12;67.23;67.78;63.48;57.18;82.02;;86.72;65.93;62.17;90.72;65.89;;66.23;67.39;69.7;67.76;62.0
"FEV-2025";74.0;90.0;62.82;;65.07;89.6;63.98;66.27;71.66;66.96;61.62;80.73;;86.04;65.19;64.93;91.2;69.83;;66.29;68.45;68.75;70.93;62.26
"MAR-2025";81.83;70.0;69.61;;77.38;87.88;70.75;71.54;80.1;73.92;70.84;84.8;;87.84;77.4;69.71;;77.82;;68.02;71.52;77.0;77.56;64.0
"ABR-2025";;85.0;73.26;;82.46;85.36;72.45;77.82;76.06;70.85;72.0;85.67;;103.85;78.56;62.5;;85.81;;67.3;69.02;85.36;75.74;74.09
"MAI-2025";;85.0;68.8;;73.28;86.44;64.29;70.11;69.61;59.97;57.86;92.39;;102.78;69.56;55.52;;75.3;;62.3;63.25;87.0;68.08;69.09
"JUN-2025";;;58.13;80.45;63.39;78.39;50.07;64.87;65.37;51.23;42.26;90.13;;96.58;62.94;53.22;;65.81;;60.77;62.18;;60.56;52.7
"JUL-2025";;70.75;56.07;81.24;55.18;76.18;48.1;57.94;58.27;47.6;40.95;66.11;90.95;95.81;58.84;50.74;;62.81;;59.59;58.86;;57.81;51.15
"AGO-2025";;66.5;58.86;79.53;50.96;98.39;48.66;57.35;56.04;49.95;44.13;61.78;90.57;97.65;61.17;52.21;;57.78;;59.93;60.14;;57.6;50.52
