"Ano Mes.Ano Mes";SOJA/EM GRÃOS/AP/Preco Medio Comercializado;SOJA/EM GRÃOS/BA/Preco Medio Comercializado;SOJA/EM GRÃOS/DF/Preco Medio Comercializado;SOJA/EM GRÃOS/GO/Preco Medio Comercializado;SOJA/EM GRÃOS/MA/Preco Medio Comercializado;SOJA/EM GRÃOS/MG/Preco Medio Comercializado;SOJA/EM GRÃOS/MS/Preco Medio Comercializado;SOJA/EM GRÃOS/MT/Preco Medio Comercializado;SOJA/EM GRÃOS/PA/Preco Medio Comercializado;SOJA/EM GRÃOS/PI/Preco Medio Comercializado;SOJA/EM GRÃOS/PR/Preco Medio Comercializado;SOJA/EM GRÃOS/RO/Preco Medio Comercializado;SOJA/EM GRÃOS/RR/Preco Medio Comercializado;SOJA/EM GRÃOS/RS/Preco Medio Comercializado;SOJA/EM GRÃOS/SC/Preco Medio Comercializado;SOJA/EM GRÃOS/SP/Preco Medio Comercializado;SOJA/EM GRÃOS/TO/Preco Medio Comercializado
"JAN-2020";;76.3;76.63;74.63;78.59;82.03;75.24;73.12;80.41;82.15;78.64;68.65;75.0;77.36;78.64;78.55;78.65
"FEV-2020";;73.29;75.75;74.97;77.83;81.29;74.63;73.34;78.5;76.1;78.28;69.5;;77.46;78.86;78.98;76.54
"MAR-2020";;78.62;79.32;78.97;83.83;83.78;80.28;79.82;82.5;83.17;84.15;72.59;;85.53;85.22;81.28;80.23
"ABR-2020";;82.08;90.41;81.54;91.64;89.7;83.38;88.32;87.41;89.42;87.37;78.55;;92.13;89.85;85.57;85.82
"MAI-2020";;84.48;98.38;85.82;96.67;99.46;91.45;95.24;96.41;94.07;95.24;80.48;;98.24;96.53;94.77;93.51
"JUN-2020";;83.08;91.38;87.34;97.43;101.05;92.85;95.04;90.88;94.17;94.18;82.0;;97.58;95.25;96.51;90.47
"JUL-2020";;94.9;100.43;95.67;105.82;107.32;103.77;104.23;106.17;98.52;99.84;87.87;;105.5;101.48;101.17;97.9
"AGO-2020";;102.49;115.48;105.26;115.1;120.69;116.13;116.8;106.58;110.67;109.67;91.76;112.0;117.3;111.83;108.93;108.7
"SET-2020";;111.5;130.01;122.13;127.48;135.14;134.01;135.45;123.11;125.03;123.69;104.5;106.48;133.36;125.7;121.09;123.52
"OUT-2020";;120.94;141.6;141.54;144.98;163.68;157.21;158.7;132.77;136.64;142.62;113.59;121.03;150.53;145.69;145.34;148.47
"NOV-2020";;124.16;174.88;156.87;158.05;178.11;164.94;170.13;150.0;145.62;148.48;124.52;144.33;155.56;152.84;157.22;158.0
"DEZ-2020";;121.89;147.61;130.65;141.61;157.48;142.49;147.7;147.37;140.35;137.82;125.78;;134.39;138.31;141.65;147.23
"JAN-2021";;141.22;146.9;149.97;149.04;166.7;154.85;149.36;155.0;153.21;152.55;132.48;;151.24;150.5;154.09;150.01
