produto,mean,std,acf12,season_strength,cluster
1301001,0.010869565217391304,0.10368904363227666,-0.0124223602484472,0.0,0
1311001,1017.4239130434783,1678.135748989593,0.09483623844576351,0.062110405839135074,0
1312001,1588.5108695652175,2331.698398977641,0.20304930840482474,0.043226192419587584,2
1313001,896.7391304347826,1171.7881158591808,0.34113623264775134,0.14043870403917746,2
1321001,86.78260869565217,253.8891330314387,0.043102601541686304,9.14626157850762e-05,0
1322001,231.57608695652175,590.7670443859527,0.03189720783947937,0.0004730588590338147,0
1400001,67.05434782608695,210.3028542948828,-0.010348916667171063,0.007041486822794707,0
1400003,0.21739130434782608,0.8186161036418578,0.0091371803519961,0.0025215423732655173,0
1410001,164.44565217391303,486.6370928009826,-0.010939944875831435,0.025109492063531746,0
1410003,0.11956521739130435,0.656777232174817,-0.007335691234087147,0.036610337080226873,0
1450001,0.5652173913043478,3.05138723913826,-0.003967816112246368,0.0001538296980380105,0
1490001,27.304347826086957,68.72831501967902,0.09944709244297648,0.0012712833643594434,0
1491001,144.84782608695653,317.73987634071557,0.1534901354537957,0.36314856797074824,2
1501014,18.293478260869566,78.99718460083388,0.02029660574675766,3.475685050324806e-06,0
1512001,0.021739130434782608,0.14583052027172538,-0.025120772946859878,0.0,0
1520002,8175.836956521739,9891.872424937703,0.5230822622210992,0.26369803987488627,1
1520003,0.03260869565217391,0.17761015911269773,-0.026868588177821222,0.0,0
1521002,3147.9347826086955,3782.9106254436565,0.5327128759291513,0.27055398576650613,1
1522002,58.09782608695652,285.97586777872675,-1.548034574350476e-05,0.00012534541023978552,0
1523002,2276.8695652173915,2822.9895701935475,0.5152315687341451,0.26968507324948177,1
1524002,1353.5,1659.1132224120838,0.5506460468239744,0.15106376072639427,2
1525003,0.010869565217391304,0.10368904363227666,-0.0014333492594362414,0.0,0
1526003,1.2934782608695652,12.025821894969484,-0.0016061922725812956,0.0,0
1530003,2363.5,3152.6586209792495,0.5251947644009897,0.22341724017454878,1
1530005,1382.2608695652175,1930.8549349376708,0.4693593860138577,0.18229776573792245,2
1530006,0.043478260869565216,0.29166104054345077,-0.025120772946859896,0.0,0
1530007,0.010869565217391304,0.10368904363227667,-0.012422360248447202,0.0,0
